--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:12.900 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.900 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:13.000 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:13.020 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:13.020 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:13.070 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:13.070 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:13.080 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:13.080 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:13.080 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:13.180 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:13.200 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:13.200 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:13.240 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:13.240 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:13.250 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:13.250 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:13.250 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:13.370 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:13.370 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:13.370 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:13.411 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:13.411 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:13.431 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:13.431 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:13.431 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:13.521 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:13.531 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:13.531 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:13.571 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:13.571 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:13.581 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:13.581 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:13.581 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:13.701 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:13.701 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:13.701 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:13.731 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:13.741 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:13.761 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:13.761 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:13.761 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:13.871 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:13.871 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:13.871 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:13.891 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:13.891 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:13.901 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:13.901 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:13.901 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:14.021 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:14.021 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:14.021 I/SimpleVideoView(11913): ---draw_on_canvas ED
