--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
12-15 11:03:34.503 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:34.503 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:34.533 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:34.533 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:34.543 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:34.543 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:34.543 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:34.673 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:34.673 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:34.683 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:34.723 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:34.723 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:34.733 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:34.733 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:34.733 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:34.873 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:34.873 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:34.873 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:34.893 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:34.893 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:34.903 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:34.903 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:34.903 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:35.033 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:35.033 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:35.043 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:35.073 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:35.073 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:35.083 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:35.083 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:35.083 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:35.203 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:35.223 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:35.223 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:35.263 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:35.263 I/libframegrabber(11612): ---sws_scale ST
